Median Vacant Land  Price - 2022,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change,change,Growth PA,
CRANBOURNE EAST,209500,196000,202000,211000,232000,295000,345000,295000,299000,315000,400000,385000,27,91,6.7,
CRANBOURNE SOUTH,-,-,224000,224000,224000,224000,290000,325000,354500,322500,235500,201000,-27,0,NA,
CRANBOURNE WEST,205000,198500,208000,221000,235500,292000,294500,242500,188500,221000,170000,124500,-23,-17,-1.8,
CRESWICK,100000,80000,70000,109500,125500,110000,127500,135000,157500,185000,221000,NA,19,121,8.3,
CRIB POINT,134000,165000,89000,190000,183000,238000,295000,320000,355000,370000,379000,NA,2,183,11.0,
CROYDON,252000,245000,316000,425000,357500,400000,350000,326000,452000,633500,643000,NA,1,155,9.8,
CURLEWIS,155000,159000,160000,157000,165000,180000,210000,249000,315000,337000,470000,425000,39,203,11.7,
DALYSTON,125000,129000,107500,89500,89000,109000,122000,139000,169000,250000,309000,270000,24,147,9.5,
DARLEY,154000,162000,152000,151500,182000,170000,270000,250000,240000,270000,345000,282500,28,124,8.4,
DAYLESFORD,157000,155000,180000,150000,162500,170000,241000,226500,340000,386500,490000,339500,27,212,12.1,
DEANSIDE,-,-,-,-,-,351000,340500,235000,309500,329000,377000,359000,15,0,NA,
DENNINGTON,117500,120000,128500,123000,130000,125000,124000,130000,132000,140000,160000,140000,14,36,3.1,
DERRIMUT,270000,245000,280000,282500,360000,380000,907500,413000,305000,369000,473500,NA,28,75,5.8,
DIAMOND CREEK,129000,314000,345000,375000,400000,430000,433000,425000,439000,487500,621500,604000,27,382,17.0,
DIGGERS REST,137000,178500,175000,181000,196500,220000,280000,284000,277500,289500,340000,335000,17,148,9.5,
DINNER PLAIN,98000,59000,60000,59500,63000,84000,90000,115000,130000,217000,297500,NA,37,204,11.7,
DONCASTER,300000,112500,702500,795000,907500,1005000,1010000,1005000,1080000,1175000,1167500,1100000,-1,289,14.6,
DONNYBROOK,-,-,182000,182000,182000,255000,300000,277500,278500,285000,290000,320500,2,0,NA,
DOREEN,190000,180000,182000,199000,210000,245000,330000,312500,322500,368500,378500,475000,3,99,7.1,
DROMANA,240000,283000,285000,294000,420000,475000,557500,400000,542500,690000,695000,430000,1,190,11.2,
DROUIN,135000,130000,125000,125000,136500,165000,210000,205000,220000,275000,336500,300000,22,149,9.6,
DRYSDALE,157500,171500,169500,164000,157000,180000,225000,290000,250000,273000,350000,380000,28,122,8.3,
DUNOLLY,95000,33000,21500,18500,72500,37000,78000,40000,50500,62000,75000,67000,21,-21,-2.3,
EAGLE POINT,99000,132500,109000,223500,110000,108000,135000,135000,130000,169000,255000,457500,51,158,9.9,
EAGLEHAWK,112000,105500,109500,115000,108000,100000,100000,115000,119500,160000,235000,NA,47,110,7.7,
EASTWOOD,116500,115000,121500,125000,111500,120000,128000,122000,143500,145000,249500,170000,72,115,7.9,
ECHUCA,115500,140000,139000,140000,144500,150500,154000,150500,156000,240000,321000,275000,34,178,10.8,
ELTHAM,218000,282500,443500,300000,447500,700000,525000,950000,431500,780000,612500,NA,-21,181,10.9,
EPPING,190000,193500,195000,220000,275000,245000,316000,240000,320000,325000,338000,541000,4,78,5.9,
EPSOM,110000,116000,117500,125000,118000,116500,133000,135000,151000,186000,350000,350000,88,218,12.3,
EUROA,84000,78000,80000,77500,93000,105000,105000,80000,107500,160000,205000,265000,28,144,9.3,
EYNESBURY,163000,149000,143000,165000,180000,246500,287500,263500,273000,296000,365000,330000,23,124,8.4,
FERNTREE GULLY,280000,270000,228000,415000,370000,400000,520000,402000,582500,580000,504000,712500,-13,80,6.1,
FLORA HILL,143500,190000,240000,181500,155000,225000,155000,185000,185000,204000,200000,385000,-2,39,3.4,
FOSTER,121000,125000,126000,132000,165000,140000,129500,127500,125000,142000,220500,150000,55,82,6.2,
FRANKSTON SOUTH,401000,340000,295000,460000,584000,616000,815000,500000,685000,800000,500000,4750000,-38,25,2.2,
FRASER RISE,226000,223000,235000,257000,265000,296000,339000,302000,317500,345000,380000,374000,10,68,5.3,
FYANSFORD,-,-,227000,240000,275000,258500,320000,356000,390000,398000,565000,468500,42,0,NA,
GARFIELD,210000,185000,188000,230500,232500,225000,291500,355000,372500,400000,431000,NA,8,105,7.5,
GEELONG,165000,266000,485000,177000,177000,270000,360000,437500,370500,364000,465500,NA,28,182,10.9,
GISBORNE,230000,224000,227000,245000,285000,298000,410000,394000,363500,400000,497500,419500,24,116,8.0,
GLENGARRY,165000,112000,115000,115000,180000,145000,177000,242500,185000,199000,268000,298000,35,62,5.0,
GLENLYON,112500,-,-,28000,165000,132500,185000,227500,305000,345000,480000,325000,39,327,15.6,
GOLDEN BEACH,44000,47000,40000,46000,47000,45000,50500,52000,53500,97500,150000,146000,54,241,13.0,
GOLDEN SQUARE,129000,148500,156500,178500,175000,173500,137500,161000,168000,190000,255000,223500,34,98,7.1,
GRANTVILLE,126000,122500,115000,139000,135000,140000,175000,265000,202500,335000,358500,388500,7,185,11.0,
GREENSBOROUGH,261000,217500,206000,182000,304500,425000,186000,542500,445000,443000,557500,NA,26,114,7.9,
GREENVALE,244000,228000,248000,260000,292000,342000,415500,376000,385000,418000,485000,540000,16,99,7.1,
GROVEDALE,195000,184000,189000,200000,195000,255000,329000,322500,310000,330000,200000,420000,-39,3,0.3,
HALLS GAP,95000,84000,112000,125000,85000,84000,92000,93500,130000,185000,240000,300000,30,153,9.7,
HAMILTON,83500,91000,87000,88000,98000,76500,91000,82000,98500,155000,170000,145000,10,104,7.4,
HAMPTON PARK,177500,194000,210000,185500,199500,214500,512500,250000,265000,324500,350000,NA,8,97,7.0,
HARCOURT,96500,98000,100000,135000,137000,144000,149500,173500,162500,195000,295000,380000,51,206,11.8,
HARKNESS,152000,141000,145000,143500,150000,176000,194000,230000,240000,250000,300000,NA,20,98,7.1,
HASTINGS,245000,239000,210000,232500,249000,250000,268000,285000,315000,332500,312000,338000,-6,27,2.4,
HAVEN,174000,180000,180000,115000,115000,115000,115000,115000,126500,210000,285000,NA,36,64,5.1,
HEALESVILLE,135000,211000,225500,190000,247500,310000,300000,332500,355000,442500,497500,NA,12,269,13.9,
HEATHCOTE,87000,74500,118500,110000,105000,103500,85000,120000,145000,160000,242500,155000,52,179,10.8,
HEPBURN,135000,116000,150000,142500,170000,190000,265000,193500,205000,280000,315000,380000,13,133,8.8,
HEPBURN SPRINGS,175000,170000,137500,143500,172000,215000,184000,275000,250000,322500,400000,NA,24,129,8.6,
HIGHTON,220000,220500,252500,250000,260000,260000,284000,300000,325000,324000,515000,380000,59,134,8.9,
HORSHAM,91500,99500,108500,106000,102000,117000,112000,115000,124000,149000,208000,183000,40,127,8.6,
HUNTLY,107000,111000,108500,115000,113000,115000,117000,130000,130000,158000,228000,249000,44,113,7.9,
HUON CREEK,-,-,-,-,267500,265000,270000,293000,330000,330000,450000,450000,36,0,NA,
INDENTED HEAD,184500,170000,169000,184500,200000,179000,302500,292000,269000,285000,505000,365000,77,173,10.6,
INVERLOCH,199000,185000,200000,200000,205000,259000,262500,290000,337000,415000,595000,1272500,43,199,11.6,
IRYMPLE,110000,130000,108000,115000,99500,115000,131500,138000,139000,165000,190000,169500,15,73,5.6,
JACKASS FLAT,119000,118000,121000,128000,130000,133000,135000,138000,139500,164500,277000,260000,68,133,8.8,
JEERALANG NORTH,75000,90000,97500,70000,90000,75000,62000,65000,108000,137500,177000,NA,29,136,9.0,
JUNCTION VILLAGE,-,-,-,205000,205000,205000,205000,457000,337000,385500,480000,317500,25,0,NA,
JUNORTOUN,145000,154500,184500,207500,194500,195000,180000,195000,197500,230000,395000,NA,72,172,10.5,
KALIMNA,78500,116500,80500,105500,93500,85000,135000,93000,100000,164000,156000,NA,-5,99,7.1,
KALKALLO,-,105500,176000,181000,202000,268000,325000,285500,286000,313000,333000,267500,6,0,NA,
KANGAROO FLAT,106000,127000,130000,135500,140000,135000,139000,136000,170000,175000,285000,260000,63,169,10.4,
KEILOR EAST,379000,417500,396500,470000,412500,407500,730000,665000,662500,811000,837500,NA,3,121,8.3,
KENNINGTON,205000,275000,220000,302500,221500,170000,139000,270000,220000,235000,360000,386500,53,76,5.8,
KERANG,50000,48000,42000,54500,48500,65000,65000,68000,45000,64000,100000,72000,57,100,7.2,
KEYSBOROUGH,355000,365000,377500,370000,553000,565000,560000,545500,645000,670000,885000,992000,32,149,9.6,
KIALLA,118000,121500,124000,126000,130000,128000,131500,136000,149000,174000,235000,275000,35,99,7.1,
KILCUNDA,221500,235000,157000,141000,180000,233500,245000,295000,295000,320000,485000,NA,52,119,8.2,
KILMORE,110000,115000,110000,105000,112500,129500,206500,230000,240000,270000,315000,330000,17,186,11.1,
KILSYTH,177500,179500,206000,237000,310000,366000,375000,316000,325000,583500,594500,727500,2,235,12.8,
KINGLAKE,110000,110000,120000,128500,135000,185000,145000,205000,225000,147500,249000,NA,69,126,8.5,
KOO WEE RUP,165000,175000,173000,200000,225000,254000,299000,300000,320000,300000,400000,NA,33,142,9.3,
KOONDROOK,48000,65000,57000,66500,71000,63500,58000,69000,79500,84500,100000,142500,18,108,7.6,
KOROIT,98500,119000,101500,107500,114000,103500,108500,125000,140000,147000,277500,300000,89,182,10.9,
KORUMBURRA,90000,115000,107000,110000,123000,129000,150000,180000,201500,215000,310000,NA,44,244,13.2,
KURUNJANG,164500,145000,133500,130000,132500,150500,227500,250000,251000,275000,535000,160000,95,225,12.5,
KYNETON,166500,177000,170000,178500,195000,211000,230000,311500,314000,329000,397000,352500,21,138,9.1,
LAKE BOGA,110000,73000,40000,45000,35000,42500,257000,67000,72000,375000,322500,307000,-14,193,11.4,
LAKE BUNGA,135000,130000,118500,121000,131000,115000,122500,117000,120000,219500,187500,NA,-15,39,3.3,
LAKE TYERS BEACH,105000,97500,135000,116000,106000,119000,150000,132000,182500,189000,235000,NA,24,124,8.4,
LAKES ENTRANCE,94000,94500,89000,79500,98000,101000,96500,96000,125000,185000,250000,220000,35,166,10.3,
LANCEFIELD,115000,115000,138000,144000,128000,135000,205000,220000,215000,242000,295000,290000,22,157,9.9,
LANG LANG,165000,169500,150000,165000,160000,195000,266000,265000,275000,302000,421000,390000,39,155,9.8,
LANGWARRIN,233500,227000,246000,250000,365500,297500,353500,407500,405000,350000,645000,552500,84,176,10.7,
LARA,170000,202000,190000,195000,194000,225000,260000,268500,279000,303000,341500,355000,13,101,7.2,
LARA LAKE,185000,186000,194000,190000,185500,193500,252000,275000,269500,342500,407500,NA,19,120,8.2,
LENEVA,109000,130000,130000,112500,148000,142500,135000,147000,150000,178000,235000,237500,32,116,8.0,
LEONGATHA,145000,152000,142000,140500,152500,135000,165000,185000,207500,257500,262500,455000,2,81,6.1,
LEOPOLD,171500,166000,165000,178000,179000,225000,241500,275000,269000,276500,330000,353000,19,92,6.8,
LILYDALE,213500,225000,257500,290000,388000,352500,516000,490000,490000,570000,620500,560000,9,191,11.3,
LINDENOW,78500,-,-,-,60000,80000,90000,95000,108000,158000,158000,NA,0,101,8.1,
LOCH SPORT,50000,44000,48000,53000,40000,42500,48500,60000,55000,100000,134000,132500,34,168,10.3,
LONGWARRY,110000,115000,111000,123000,134000,160000,200000,227500,211500,226000,400000,NA,77,264,13.8,
LOVELY BANKS,266500,100000,227500,227500,227500,184500,259500,269500,280000,284500,572000,NA,101,115,7.9,
LUCAS,133500,130000,137000,129000,140000,145500,169500,190000,210000,265000,320000,305000,21,140,9.2,
LUCKNOW,88500,77500,77500,90000,81500,113000,112500,115000,115000,128000,175000,210000,37,98,7.1,
LYNDHURST,230000,260000,340000,229000,307500,355000,440000,440000,459000,536000,715000,NA,33,211,12.0,
MADDINGLEY,143000,153000,150000,156000,153000,174500,209000,231000,239500,257000,303500,231000,18,112,7.8,
MAFFRA,110000,110000,112000,109000,111500,113000,109000,117000,125000,145000,219000,200000,51,99,7.1,
MAIDEN GULLY,130000,159000,158000,159500,171000,165000,159500,182500,189500,285000,395000,NA,39,204,11.8,
MALLACOOTA,119000,92000,150000,180500,70500,150000,150000,124500,150000,174000,261500,395000,50,120,8.2,
MALMSBURY,107500,124500,136500,160500,155000,157000,190000,244000,260000,272500,317500,500000,17,195,11.4,
MAMBOURIN,-,-,-,-,-,365000,295000,291500,292000,303500,337500,367500,11,0,NA,
MANOR LAKES,184000,155000,165000,182500,201000,250500,300000,307500,307500,330000,360000,320000,9,96,6.9,
MANSFIELD,147000,167000,165000,160000,180000,172500,172500,172000,185000,260000,360000,350000,38,145,9.4,
MARLO,147000,185000,106500,120000,95000,130000,150000,140000,142500,160000,290000,NA,81,97,7.0,
MARONG,94000,103000,112000,113000,137500,128000,134000,137000,146000,260000,271000,279000,4,188,11.2,
MARYBOROUGH,74000,82000,77000,76000,90000,85000,83000,99000,98000,100000,137500,154500,38,86,6.4,
MARYSVILLE,115000,105000,130000,120000,154500,135000,145000,145000,200000,235000,307500,250000,31,167,10.3,
MCCRAE,323500,347500,337000,385000,351500,520000,526500,492500,450000,750000,853500,NA,14,164,10.2,
MCKENZIE HILL,127500,125000,131500,129000,135000,132500,147000,158500,205000,204000,370000,265000,81,190,11.2,
MELTON,202000,217000,113500,75000,133500,145000,175000,220000,247500,337500,337500,484500,0,67,5.9,
MELTON SOUTH,162000,135000,143000,150000,160000,194500,231000,230000,229000,228000,315000,345000,38,94,6.9,
MERBEIN,42500,59500,70000,42500,57000,77000,81000,82500,90000,85000,118000,140000,39,178,10.8,
MERNDA,199000,186000,190000,191000,217000,244000,304000,285000,327000,310000,376000,397000,21,89,6.6,
METUNG,98500,74000,80500,65000,65000,126500,120000,115000,115000,180000,320000,NA,78,225,12.5,
MICKLEHAM,186500,168000,180000,187000,202000,258000,295500,284500,291000,318000,362500,365000,14,94,6.9,
MILDURA,84500,89000,89000,95500,96000,108000,131000,135000,135000,160000,185000,210000,16,119,8.2,
MINERS REST,126500,127500,123000,130000,132000,133000,136000,156000,206000,241500,80000,280000,-67,-37,-4.5,
MOE,110000,104000,98000,122000,129000,121500,124000,129000,147000,165000,215500,240000,31,96,7.0,
MOOROOLBARK,200000,186500,255000,321000,325000,372500,391000,355000,368500,405000,430500,NA,6,115,8.0,
MOOROOPNA,80000,105000,106000,100000,106000,105000,105000,110000,118000,145000,200000,210000,38,150,9.6,
MORNINGTON,280000,255000,345000,295000,434500,840000,820000,782500,814000,632500,1070000,425000,69,282,14.3,
MORWELL,106500,115000,106000,110000,96000,107000,119000,121000,132000,165000,239000,240000,45,124,8.4,
MOUNT CLEAR,159500,160500,168000,148000,140000,178000,145000,160000,159000,227000,320000,NA,41,101,7.2,
MOUNT COTTRELL,-,-,73500,82000,82000,82000,220000,212000,280000,283000,357000,575000,26,0,NA,
MOUNT DUNEED,200000,199000,178000,187500,193500,219000,266000,277000,285000,294500,365000,340000,24,83,6.2,
MOUNT ELIZA,510000,485000,470000,440000,561000,607500,735000,850000,840000,1000000,991500,NA,-1,94,6.9,
MOUNT HELEN,95000,100000,110000,99500,95000,105000,122000,165000,209000,222500,289000,NA,30,204,11.8,
MOUNT MARTHA,410000,391000,420000,534500,670000,870000,1065000,802500,890000,1400000,1315000,790000,-6,221,12.4,
MULGRAVE,506000,512000,516500,516500,660000,706000,740500,745000,658000,721500,829500,799000,15,64,5.1,
MYRTLEFORD,92500,87500,80000,95000,94000,128000,130000,145000,155000,230000,363000,NA,58,292,14.7,
NAGAMBIE,110000,113500,112500,115000,120000,125000,125000,153000,182500,234500,267000,268000,14,143,9.3,
NARRE WARREN,230000,245000,247500,235000,240000,340000,445000,439000,387500,585500,599000,585000,2,160,10.0,
NARRE WARREN NORTH,390000,385000,387500,440000,500000,535000,555000,637500,720000,760000,965000,1002500,27,147,9.5,
NARRE WARREN SOUTH,300000,307500,279500,260000,301000,415000,450000,295000,334500,288500,621000,1035000,115,107,7.5,
NATHALIA,59000,60000,66000,79000,72000,62000,70000,119500,111000,116000,120000,NA,3,104,7.4,
NEERIM SOUTH,118000,109000,110000,130000,116000,127500,142000,185000,205000,235000,225000,NA,-4,91,6.7,
NELSON,-,145000,70000,70000,142500,87000,131500,89000,97500,96000,144500,135000,51,0,NA,
NEW GISBORNE,262500,230000,374000,240000,235000,287000,275000,342500,359000,382500,475000,457500,24,81,6.1,
NEWBOROUGH,142500,116000,115000,87500,103500,107500,122000,164000,169500,177000,219000,247000,24,54,4.4,
NEWHAVEN,334500,285000,240000,170000,275000,238500,332500,327500,317000,350000,350000,NA,0,5,0.5,
NEWLANDS ARM,93000,95000,56500,93000,98500,105000,115000,120000,132000,220000,550000,530000,150,491,19.5,
NICHOLSON,-,-,-,126000,125000,125000,128500,136500,135000,204000,240000,277500,18,0,NA,
NORTH WONTHAGGI,137000,135000,135000,129000,126500,130000,155000,165000,205000,250000,352500,297500,41,157,9.9,
NUMURKAH,77000,90000,84000,83000,85000,112000,97500,106500,110000,85000,130000,100000,53,69,5.4,
NYAH WEST,52000,11000,55000,12000,10500,17000,17000,10000,12000,31000,38500,37000,24,-26,-3.0,
OCEAN GROVE,188000,199500,214500,219500,225000,244000,320000,350000,369000,411000,565000,563000,37,200,11.6,
OFFICER,180000,183500,185000,211000,232500,273500,330500,328000,338000,364000,439000,482500,21,144,9.3,
OFFICER SOUTH,-,-,-,-,258500,299000,330000,345000,350000,369500,420000,NA,14,0,NA,
ORBOST,75000,53500,62500,52500,57500,57500,49500,60000,51000,95000,110000,135000,16,47,3.9,
PAKENHAM,179000,173000,170000,187000,199000,232000,300000,290000,313000,333000,380000,415000,14,112,7.8,
PARADISE BEACH,50000,39000,45000,47500,52500,50000,60000,52500,64000,95000,154500,130000,63,209,11.9,
PAYNESVILLE,112500,124000,150000,141500,115000,142500,155000,132500,137500,170000,236000,260000,39,110,7.7,
PETERBOROUGH,145000,79000,110000,139000,145000,155000,182500,185000,193000,257500,460000,NA,79,217,12.2,
PLENTY,480000,462500,390000,500000,557500,570000,750000,656000,670000,705000,820000,640000,16,71,5.5,
POINT COOK,250000,244500,255000,280000,305000,330000,439500,410000,417000,520000,650000,461000,25,160,10.0,
POINT LONSDALE,235000,285000,232000,265000,251500,320000,367500,397000,464000,499000,863500,830000,73,267,13.9,
PORT ALBERT,86500,120000,92500,106000,53000,98000,72500,89000,90000,150000,205000,290000,37,138,9.0,
PORT FAIRY,160000,175000,215000,185000,220000,215000,235000,266500,344500,447500,480000,400000,7,200,11.6,
PORTARLINGTON,217000,194000,179500,192000,180000,200000,250000,360000,305500,420000,572500,NA,36,164,10.2,
PORTLAND,80000,85000,91000,52000,82000,50000,76000,60000,67500,140000,180000,157500,29,125,8.4,
PORTLAND NORTH,170000,81000,80000,80000,130000,70000,73000,95000,95000,195000,230000,215000,18,35,3.1,
RAINBOW,67500,67500,25500,25500,25500,25500,10500,12000,23500,28000,28000,39000,0,-59,-9.3,
RED CLIFFS,45000,60000,55000,68500,70000,75000,79000,82000,85000,105000,125000,126000,19,178,10.8,
RIDDELLS CREEK,227500,189000,165000,247500,260000,277500,360000,418000,410000,422500,482500,745000,14,112,7.8,
RINGWOOD,345000,298500,285000,444500,350000,870000,600000,525000,718000,800000,620000,603500,-23,80,6.0,
ROBINVALE,65000,55000,50000,59000,50000,55000,69000,70500,134000,70000,108500,NA,55,67,5.3,
ROCKBANK,115500,115500,265000,184500,208000,237000,248500,256500,253500,290000,280000,295000,-3,142,9.3,
ROMSEY,196000,220000,179000,179000,186000,204000,257000,300000,338500,435000,447500,351500,3,128,8.6,
ROSEBUD,187000,242000,220000,205000,340000,360000,310500,342500,330000,450000,550000,NA,22,194,11.4,
ROXBURGH PARK,212000,210000,231000,239000,263000,265000,277500,332500,372500,430000,392500,185000,-9,85,6.4,
RYE,270000,255000,232500,275000,282500,370000,450000,448000,420000,687500,808500,532500,18,199,11.6,
SAFETY BEACH,280000,192500,282500,305000,420500,447500,448500,420000,552500,620000,1060000,NA,71,279,14.2,
SALE,120000,115000,120000,125500,128000,137000,142000,135000,150000,185000,210000,240000,14,75,5.8,
SAN REMO,270000,242500,255000,250000,249000,240000,270000,308000,300000,375500,489000,555000,30,81,6.1,
SANCTUARY LAKES,281500,278500,265000,289000,335000,355000,435000,419000,460000,510000,630000,620000,24,124,8.4,
SEBASTOPOL,105000,105000,86500,105000,111000,115000,120000,138500,150000,132000,243500,232500,84,132,8.8,
SEYMOUR,98000,109000,105000,82000,112500,89500,140000,155000,170000,187500,194000,222500,3,98,7.1,
SHEPPARTON,109000,107500,123000,127000,128000,124500,127500,129500,140000,156000,197500,245000,27,81,6.1,
SHEPPARTON NORTH,110000,118000,117500,116000,115000,116000,165000,164000,191000,215500,368000,387500,71,235,12.8,
SMYTHES CREEK,-,-,-,-,138000,127500,130000,141000,175000,238000,283000,425000,19,0,NA,
SOMERVILLE,242500,342500,325000,278000,315000,325000,374000,440000,475000,500000,500000,NA,0,106,8.4,
SORRENTO,250000,380000,655000,640000,700000,965000,965000,790000,952000,1487500,1750000,1925000,18,600,21.5,
SOUTH MORANG,248000,240000,260000,270000,280000,274000,350000,345000,350000,427500,420000,857500,-2,69,5.4,
